Date : 2023-01-22 18:01:33
Directory : d:\Flutter_projects\updated\sds\Mystica
Total : 68 files,  10034 codes, 520 comments, 704 blanks, all 11258 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Flutter_projects\updated\sds\Mystica\lib\data\local\db\app_db.g.dart                                   | Dart     |      2,386 |          2 |         99 |      2,487 |
| d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\album_entity.dart                           | Dart     |          9 |          0 |          2 |         11 |
| d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\image_entity.dart                           | Dart     |         10 |          0 |          2 |         12 |
| d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\journal_entity.dart                         | Dart     |          9 |          0 |          2 |         11 |
| d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\note_entity.dart                            | Dart     |         10 |          0 |          2 |         12 |
| d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\notebook_entity.dart                        | Dart     |          9 |          0 |          2 |         11 |
| d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\remainder_entity.dart                       | Dart     |          8 |          0 |          2 |         10 |
| d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\todo_entity.dart                            | Dart     |          7 |          0 |          2 |          9 |
| d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\user_entity.dart                            | Dart     |          7 |          0 |          2 |          9 |
| d:\Flutter_projects\updated\sds\Mystica\lib\main.dart                                                     | Dart     |         81 |          9 |          4 |         94 |
| d:\Flutter_projects\updated\sds\Mystica\lib\models\Gallery\Album.dart                                     | Dart     |         15 |          0 |          3 |         18 |
| d:\Flutter_projects\updated\sds\Mystica\lib\models\Gallery\ImageAttr.dart                                 | Dart     |         13 |          0 |          2 |         15 |
| d:\Flutter_projects\updated\sds\Mystica\lib\models\Journal\Journal.dart                                   | Dart     |         14 |          0 |          2 |         16 |
| d:\Flutter_projects\updated\sds\Mystica\lib\models\Notebook\Note.dart                                     | Dart     |         16 |          0 |          2 |         18 |
| d:\Flutter_projects\updated\sds\Mystica\lib\models\Notebook\Notebook.dart                                 | Dart     |         14 |          0 |          2 |         16 |
| d:\Flutter_projects\updated\sds\Mystica\lib\models\reminder\reminder.dart                                 | Dart     |         12 |          0 |          2 |         14 |
| d:\Flutter_projects\updated\sds\Mystica\lib\models\todo\todo.dart                                         | Dart     |         12 |          0 |          2 |         14 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\get_started_screen.dart                   | Dart     |         50 |          5 |          2 |         57 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\home_screen.dart                          | Dart     |        374 |          5 |          5 |        384 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\login_screen.dart                         | Dart     |        329 |         27 |         12 |        368 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\profile_screen.dart                       | Dart     |        274 |         16 |          9 |        299 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\signup_screen.dart                        | Dart     |        295 |         19 |         11 |        325 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\album_screen.dart               | Dart     |        228 |         17 |         12 |        257 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\create_album_screen.dart        | Dart     |        149 |         10 |         17 |        176 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\edit_album_screen.dart          | Dart     |        172 |          5 |         10 |        187 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\image\add_image_screen.dart     | Dart     |        130 |          5 |         17 |        152 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\image\detail_image_screen.dart  | Dart     |        140 |          2 |          7 |        149 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\image\image_screen.dart         | Dart     |        401 |         27 |         10 |        438 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\create_journal_screen.dart    | Dart     |        167 |          2 |         13 |        182 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\detail_journal_screen.dart    | Dart     |        130 |          1 |          4 |        135 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\edit_journal_screen.dart      | Dart     |        171 |          6 |         13 |        190 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\journal_screen.dart           | Dart     |        333 |         12 |         13 |        358 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\create_notebook_screen.dart  | Dart     |        186 |          1 |         14 |        201 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\edit_notebook.dart           | Dart     |        181 |          4 |         14 |        199 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\create_note.dart        | Dart     |        190 |          1 |         15 |        206 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\detail_note_screen.dart | Dart     |        127 |          1 |          6 |        134 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\edit_note_screen.dart   | Dart     |        171 |          1 |         12 |        184 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\note_screen.dart        | Dart     |        115 |          0 |          8 |        123 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\notebook_screen.dart         | Dart     |        332 |         14 |         15 |        361 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\reminder\reminder_screen.dart         | Dart     |        351 |         19 |         16 |        386 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\todo\todo_screen.dart                 | Dart     |        347 |         20 |         17 |        384 |
| d:\Flutter_projects\updated\sds\Mystica\lib\screens\testing.dart                                          | Dart     |         86 |          6 |          7 |         99 |
| d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\add_reminder.dart                               | Dart     |         92 |          5 |          9 |        106 |
| d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\add_task.dart                                   | Dart     |         51 |          0 |          9 |         60 |
| d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\album_item.dart                                 | Dart     |         72 |          2 |          5 |         79 |
| d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\image_item.dart                                 | Dart     |         71 |         30 |          6 |        107 |
| d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\journal_item.dart                               | Dart     |        119 |          3 |          7 |        129 |
| d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\new_image.dart                                  | Dart     |         62 |          2 |          8 |         72 |
| d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\note_item.dart                                  | Dart     |        148 |          1 |          6 |        155 |
| d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\notebook_item.dart                              | Dart     |        171 |          3 |         10 |        184 |
| d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\reminder_item.dart                              | Dart     |        149 |          8 |          7 |        164 |
| d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\todo_item.dart                                  | Dart     |        123 |         15 |          7 |        145 |
| d:\Flutter_projects\updated\sds\Mystica\lib\widgets\navigation.dart                                       | Dart     |        248 |          2 |          5 |        255 |
| d:\Flutter_projects\updated\sds\Mystica\pubspec.yaml                                                      | YAML     |         43 |         55 |         14 |        112 |
| d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugin_registrant.cc                    | C++      |          6 |          4 |          5 |         15 |
| d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugin_registrant.h                     | C++      |          5 |          5 |          6 |         16 |
| d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugins.cmake                           | CMake    |         19 |          0 |          6 |         25 |
| d:\Flutter_projects\updated\sds\Mystica\windows\runner\flutter_window.cpp                                 | C++      |         45 |          4 |         13 |         62 |
| d:\Flutter_projects\updated\sds\Mystica\windows\runner\flutter_window.h                                   | C++      |         20 |          5 |          9 |         34 |
| d:\Flutter_projects\updated\sds\Mystica\windows\runner\main.cpp                                           | C++      |         30 |          4 |         10 |         44 |
| d:\Flutter_projects\updated\sds\Mystica\windows\runner\resource.h                                         | C++      |          9 |          6 |          2 |         17 |
| d:\Flutter_projects\updated\sds\Mystica\windows\runner\utils.cpp                                          | C++      |         53 |          2 |         10 |         65 |
| d:\Flutter_projects\updated\sds\Mystica\windows\runner\utils.h                                            | C++      |          8 |          6 |          6 |         20 |
| d:\Flutter_projects\updated\sds\Mystica\windows\runner\win32_window.cpp                                   | C++      |        183 |         15 |         48 |        246 |
| d:\Flutter_projects\updated\sds\Mystica\windows\runner\win32_window.h                                     | C++      |         48 |         29 |         22 |         99 |
| Total                                                                                                     |          |     10,034 |        520 |        704 |     11,258 |
+-----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
